Sample ID	Project ID	Continent of Geolocation	Country of Geolocation	Country-level Human Development Index	Industrialization	Host Sex	Host Age Category	Host Age Decade	Host Age	Age Detail Level	Total Observed Features	Am Prevalence	Ecm Prevalence	Lichenized Prevalence	Plantpathogens Prevalence	Macrofungi Prevalence	Nonresident Prevalence	Am Abundance	Ecm Abundance	Lichenized Abundance	Plantpathogens Abundance	Macrofungi Abundance	Nonresident Abundance	Am Observed Features	Ecm Observed Features	Lichenized Observed Features	Plantpathogens Observed Features	Macrofungi Observed Features	Nonresident Observed Features
CNS0407793	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	8	False	False	False	True	False	False	0.0	0.0	0.0	12.0	0.0	0.0	0	0	0	1	0	0
CNS0407794	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	True	False	False	0.0	0.0	0.0	4.0	0.0	0.0	0	0	0	1	0	0
CNS0407795	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	True	False	False	0.0	0.0	0.0	8.0	0.0	0.0	0	0	0	1	0	0
CNS0407797	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407798	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	38.0	0.0	0.0	0	0	0	1	0	0
CNS0407800	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	24	False	True	False	True	True	True	0.0	1.0	0.0	2.0	29.0	29.0	0	1	0	1	2	2
CNS0407801	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	13	False	False	False	True	True	True	0.0	0.0	0.0	140.0	32.0	32.0	0	0	0	2	1	1
CNS0407802	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	True	True	True	0.0	0.0	0.0	223.0	223.0	223.0	0	0	0	1	1	1
CNS0407805	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	29	False	False	False	True	False	True	0.0	0.0	0.0	34.0	0.0	16.0	0	0	0	4	0	1
CNS0407806	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	3	False	False	False	True	False	False	0.0	0.0	0.0	49.0	0.0	0.0	0	0	0	2	0	0
